gameId,date,season,teamId,team,isHome,opponentId,opponent,team_points,opp_points,team_fieldGoalsMade,team_fieldGoalsAttempted,team_freeThrowsMade,team_freeThrowsAttempted,team_threePointsMade,team_threePointsAttempted,team_offensiveRebounds,team_totalRebounds,team_assists,team_turnovers,team_personalFouls,team_steals,team_blockedShots,team_fieldGoalPercentage,team_threePointPercentage,team_freeThrowPercentage,opp_fieldGoalsMade,opp_fieldGoalsAttempted,opp_freeThrowsMade,opp_freeThrowsAttempted,opp_threePointsMade,opp_threePointsAttempted,opp_offensiveRebounds,opp_totalRebounds,opp_assists,opp_turnovers,opp_personalFouls,opp_steals,opp_blockedShots,opp_fieldGoalPercentage,opp_threePointPercentage,opp_freeThrowPercentage
6515347,2025-12-22,2026,2325,Sam Houston,True,1644,Northern Colo.,65,56,21,55,21,29,2,11,14,32,17,24,21,19,0,38.2%,18.2%,72.4%,18,41,17,21,3,11,8,33,11,38,25,17,3,43.9%,27.3%,81.0%
6515347,2025-12-22,2026,1644,Northern Colo.,False,2325,Sam Houston,56,65,18,41,17,21,3,11,8,33,11,38,25,17,3,43.9%,27.3%,81.0%,21,55,21,29,2,11,14,32,17,24,21,19,0,38.2%,18.2%,72.4%
6515359,2025-12-22,2026,1366,Wake Forest,True,1910,Gardner-Webb,78,66,30,52,7,13,11,23,12,39,27,19,9,6,2,57.7%,47.8%,53.8%,25,66,5,6,11,34,13,24,21,11,14,9,2,37.9%,32.4%,83.3%
6515359,2025-12-22,2026,1910,Gardner-Webb,False,1366,Wake Forest,66,78,25,66,5,6,11,34,13,24,21,11,14,9,2,37.9%,32.4%,83.3%,30,52,7,13,11,23,12,39,27,19,9,6,2,57.7%,47.8%,53.8%
6515758,2025-12-22,2026,581,Princeton,True,2342,Temple,87,77,30,60,18,20,9,22,8,27,17,14,12,12,2,50.0%,40.9%,90.0%,30,60,5,12,12,24,13,33,15,22,18,10,0,50.0%,50.0%,41.7%
6515758,2025-12-22,2026,2342,Temple,False,581,Princeton,77,87,30,60,5,12,12,24,13,33,15,22,18,10,0,50.0%,50.0%,41.7%,30,60,18,20,9,22,8,27,17,14,12,12,2,50.0%,40.9%,90.0%
6515856,2025-12-22,2026,2413,Long Beach St.,True,2019,Toledo,43,64,16,55,9,16,2,14,8,26,10,17,13,11,0,29.1%,14.3%,56.3%,25,53,9,13,5,17,5,37,18,19,19,8,4,47.2%,29.4%,69.2%
6515856,2025-12-22,2026,2019,Toledo,False,2413,Long Beach St.,64,43,25,53,9,13,5,17,5,37,18,19,19,8,4,47.2%,29.4%,69.2%,16,55,9,16,2,14,8,26,10,17,13,11,0,29.1%,14.3%,56.3%
6516280,2025-12-22,2026,826,Little Rock,True,1229,Hendrix,73,52,29,70,9,10,6,21,15,33,17,9,18,11,2,41.4%,28.6%,90.0%,18,42,14,19,2,13,8,34,9,27,12,3,4,42.9%,15.4%,73.7%
6516280,2025-12-22,2026,1229,Hendrix,False,826,Little Rock,52,73,18,42,14,19,2,13,8,34,9,27,12,3,4,42.9%,15.4%,73.7%,29,70,9,10,6,21,15,33,17,9,18,11,2,41.4%,28.6%,90.0%
6516425,2025-12-22,2026,2288,Ohio St.,True,847,Western Mich.,95,47,42,76,6,11,5,22,10,49,22,7,13,14,3,55.3%,22.7%,54.5%,18,66,3,10,8,30,12,39,13,22,14,3,0,27.3%,26.7%,30.0%
6516425,2025-12-22,2026,847,Western Mich.,False,2288,Ohio St.,47,95,18,66,3,10,8,30,12,39,13,22,14,3,0,27.3%,26.7%,30.0%,42,76,6,11,5,22,10,49,22,7,13,14,3,55.3%,22.7%,54.5%
6517040,2025-12-22,2026,1723,Western Ill.,True,2652,SIUE,75,51,27,62,16,20,5,12,7,32,11,6,13,12,5,43.5%,41.7%,80.0%,19,52,8,10,5,16,4,29,5,17,16,4,3,36.5%,31.3%,80.0%
6517040,2025-12-22,2026,2652,SIUE,False,1723,Western Ill.,51,75,19,52,8,10,5,16,4,29,5,17,16,4,3,36.5%,31.3%,80.0%,27,62,16,20,5,12,7,32,11,6,13,12,5,43.5%,41.7%,80.0%
6517080,2025-12-22,2026,1702,Tennessee,True,2333,Southern Ind.,89,44,29,72,13,22,18,48,19,46,19,13,18,17,9,40.3%,37.5%,59.1%,17,55,6,11,4,11,13,42,7,29,15,7,2,30.9%,36.4%,54.5%
6517080,2025-12-22,2026,2333,Southern Ind.,False,1702,Tennessee,44,89,17,55,6,11,4,11,13,42,7,29,15,7,2,30.9%,36.4%,54.5%,29,72,13,22,18,48,19,46,19,13,18,17,9,40.3%,37.5%,59.1%
6517552,2025-12-22,2026,724,Creighton,True,264,Seton Hall,79,88,26,59,14,17,13,33,9,26,16,14,17,6,2,44.1%,39.4%,82.3%,32,57,13,16,11,23,10,36,16,16,20,5,2,56.1%,47.8%,81.3%
6517552,2025-12-22,2026,264,Seton Hall,False,724,Creighton,88,79,32,57,13,16,11,23,10,36,16,16,20,5,2,56.1%,47.8%,81.3%,26,59,14,17,13,33,9,26,16,14,17,6,2,44.1%,39.4%,82.3%
6518134,2025-12-22,2026,1260,UNC Greensboro,True,271,South Carolina St.,77,32,25,57,18,24,9,22,15,41,18,12,6,12,4,43.9%,40.9%,75.0%,13,43,4,6,2,10,4,21,6,23,16,7,1,30.2%,20.0%,66.7%
6518134,2025-12-22,2026,271,South Carolina St.,False,1260,UNC Greensboro,32,77,13,43,4,6,2,10,4,21,6,23,16,7,1,30.2%,20.0%,66.7%,25,57,18,24,9,22,15,41,18,12,6,12,4,43.9%,40.9%,75.0%
6518675,2025-12-22,2026,2378,FGCU,True,1388509,Fort Lauderdale,120,32,49,73,11,15,11,25,15,54,34,12,11,14,4,67.1%,44.0%,73.3%,12,53,4,14,4,19,7,16,2,25,12,5,0,22.6%,21.1%,28.6%
6518675,2025-12-22,2026,1388509,Fort Lauderdale,False,2378,FGCU,32,120,12,53,4,14,4,19,7,16,2,25,12,5,0,22.6%,21.1%,28.6%,49,73,11,15,11,25,15,54,34,12,11,14,4,67.1%,44.0%,73.3%
6518774,2025-12-22,2026,1653,Oklahoma,True,562,N.C. Central,126,54,48,88,16,20,14,30,23,60,33,17,21,21,12,54.5%,46.7%,80.0%,15,64,19,29,5,18,17,35,4,29,20,13,2,23.4%,27.8%,65.5%
6518774,2025-12-22,2026,562,N.C. Central,False,1653,Oklahoma,54,126,15,64,19,29,5,18,17,35,4,29,20,13,2,23.4%,27.8%,65.5%,48,88,16,20,14,30,23,60,33,17,21,21,12,54.5%,46.7%,80.0%
6518898,2025-12-22,2026,1335,Missouri St.,True,1896,Central Ark.,65,61,21,48,19,24,4,7,8,43,15,21,16,3,0,43.8%,57.1%,79.2%,24,67,7,15,6,25,8,28,7,10,25,18,3,35.8%,24.0%,46.7%
6518898,2025-12-22,2026,1896,Central Ark.,False,1335,Missouri St.,61,65,24,67,7,15,6,25,8,28,7,10,25,18,3,35.8%,24.0%,46.7%,21,48,19,24,4,7,8,43,15,21,16,3,0,43.8%,57.1%,79.2%
6519031,2025-12-22,2026,638,Villanova,True,2319,St. John's (NY),85,48,34,67,6,11,11,21,15,41,24,12,14,11,4,50.7%,52.4%,54.5%,21,49,4,9,2,15,5,25,12,21,18,6,3,42.9%,13.3%,44.4%
6519031,2025-12-22,2026,2319,St. John's (NY),False,638,Villanova,48,85,21,49,4,9,2,15,5,25,12,21,18,6,3,42.9%,13.3%,44.4%,34,67,6,11,11,21,15,41,24,12,14,11,4,50.7%,52.4%,54.5%
6519200,2025-12-22,2026,432,Loyola Chicago,True,831,Austin Peay,47,57,15,53,12,21,5,22,15,31,9,8,16,6,7,28.3%,22.7%,57.1%,22,53,9,15,4,15,17,44,15,17,18,4,0,41.5%,26.7%,60.0%
6519200,2025-12-22,2026,831,Austin Peay,False,432,Loyola Chicago,57,47,22,53,9,15,4,15,17,44,15,17,18,4,0,41.5%,26.7%,60.0%,15,53,12,21,5,22,15,31,9,8,16,6,7,28.3%,22.7%,57.1%
6519433,2025-12-22,2026,825,Arizona,True,2025,Utah,62,63,22,59,14,16,4,7,6,31,14,11,18,9,6,37.3%,57.1%,87.5%,26,66,6,12,5,21,14,45,16,15,15,5,1,39.4%,23.8%,50.0%
6519433,2025-12-22,2026,2025,Utah,False,825,Arizona,63,62,26,66,6,12,5,21,14,45,16,15,15,5,1,39.4%,23.8%,50.0%,22,59,14,16,4,7,6,31,14,11,18,9,6,37.3%,57.1%,87.5%
6531159,2025-12-22,2026,451,UAB,True,604,Samford,65,49,24,58,3,6,14,29,9,39,19,12,10,5,5,41.4%,48.3%,50.0%,19,53,6,12,5,22,8,33,12,13,8,4,5,35.9%,22.7%,50.0%
6531159,2025-12-22,2026,604,Samford,False,451,UAB,49,65,19,53,6,12,5,22,8,33,12,13,8,4,5,35.9%,22.7%,50.0%,24,58,3,6,14,29,9,39,19,12,10,5,5,41.4%,48.3%,50.0%
6531267,2025-12-22,2026,55,Grambling,True,17552,LeTourneau,97,33,40,72,12,28,5,18,28,60,24,20,12,17,3,55.6%,27.8%,42.9%,12,51,6,11,3,19,9,22,7,32,19,12,0,23.5%,15.8%,54.5%
6531267,2025-12-22,2026,17552,LeTourneau,False,55,Grambling,33,97,12,51,6,11,3,19,9,22,7,32,19,12,0,23.5%,15.8%,54.5%,40,72,12,28,5,18,28,60,24,20,12,17,3,55.6%,27.8%,42.9%
6533795,2025-12-22,2026,1162,Michigan St.,True,2200,Ole Miss,66,49,24,49,13,20,5,8,13,37,8,22,20,7,1,49.0%,62.5%,65.0%,17,51,13,25,2,17,17,32,5,20,20,7,3,33.3%,11.8%,52.0%
6533795,2025-12-22,2026,2200,Ole Miss,False,1162,Michigan St.,49,66,17,51,13,25,2,17,17,32,5,20,20,7,3,33.3%,11.8%,52.0%,24,49,13,20,5,8,13,37,8,22,20,7,1,49.0%,62.5%,65.0%
6533796,2025-12-22,2026,69,Indiana St.,True,923,Old Dominion,68,89,23,71,16,30,6,21,17,40,9,15,21,6,4,32.4%,28.6%,53.3%,32,73,18,26,7,18,22,61,12,21,28,9,7,43.8%,38.9%,69.2%
6533796,2025-12-22,2026,923,Old Dominion,False,69,Indiana St.,89,68,32,73,18,26,7,18,22,61,12,21,28,9,7,43.8%,38.9%,69.2%,23,71,16,30,6,21,17,40,9,15,21,6,4,32.4%,28.6%,53.3%
