Date,HomeTeam,HomeScore,AwayTeam,AwayScore,Status
2025-05-16,Mystics,94,Dream,90,Final
2025-05-16,Wings,84,Lynx,99,Final
2025-05-16,Valkyries,67,Sparks,84,Final
2025-05-17,Liberty,92,Aces,78,Final
2025-05-17,Fever,93,Sky,58,Final
2025-05-17,Mercury,81,Storm,59,Final
2025-05-18,Sun,85,Mystics,90,Final
2025-05-18,Sparks,75,Lynx,89,Final
2025-05-19,Wings,71,Storm,79,Final
2025-05-20,Sun,62,Aces,87,Final
2025-05-20,Fever,90,Dream,91,Final
2025-05-21,Lynx,85,Wings,81,Final
2025-05-21,Valkyries,76,Mystics,74,Final
2025-05-21,Mercury,89,Sparks,86,Final
2025-05-22,Dream,76,Fever,81,Final
2025-05-22,Sky,74,Liberty,99,Final
2025-05-23,Lynx,76,Sun,70,Final
2025-05-23,Aces,75,Mystics,72,Final
2025-05-23,Sparks,73,Valkyries,82,Final
2025-05-23,Storm,77,Mercury,70,Final
2025-05-24,Fever,88,Liberty,90,Final
2025-05-24,Dream,83,Wings,75,Final
2025-05-25,Dream,79,Sun,55,Final
2025-05-25,Sparks,91,Sky,78,Final
2025-05-25,Mercury,68,Mystics,62,Final
2025-05-25,Storm,102,Aces,82,Final
2025-05-27,Sun,87,Wings,109,Final
2025-05-27,Liberty,95,Valkyries,67,Final
2025-05-27,Lynx,82,Storm,77,Final
2025-05-27,Sparks,82,Dream,88,Final
2025-05-27,Mercury,94,Sky,89,Final
2025-05-28,Mystics,83,Fever,77,Final
2025-05-29,Liberty,82,Valkyries,77,Final
2025-05-29,Sky,97,Wings,92,Final
2025-05-30,Fever,83,Sun,85,Final
2025-05-30,Mystics,63,Liberty,85,Final
2025-05-30,Aces,96,Sparks,81,Final
2025-05-30,Mercury,71,Lynx,74,Final
2025-05-30,Storm,87,Dream,94,Final
2025-05-31,Wings,83,Sky,94,Final
2025-06-01,Liberty,100,Sun,52,Final
2025-06-01,Sparks,80,Mercury,85,Final
2025-06-01,Storm,70,Aces,75,Final
2025-06-01,Valkyries,75,Lynx,86,Final
2025-06-03,Fever,85,Mystics,76,Final
2025-06-03,Lynx,88,Mercury,65,Final
2025-06-03,Storm,83,Wings,77,Final
2025-06-05,Mystics,78,Liberty,86,Final
2025-06-05,Mercury,86,Valkyries,77,Final
2025-06-06,Sun,84,Dream,76,Final
2025-06-06,Wings,79,Sparks,93,Final
2025-06-07,Valkyries,95,Aces,68,Final
2025-06-07,Sky,52,Fever,79,Final
2025-06-07,Mercury,77,Storm,89,Final
2025-06-08,Mystics,104,Sun,67,Final
2025-06-08,Wings,65,Lynx,81,Final
2025-06-09,Sparks,81,Valkyries,89,Final
2025-06-10,Dream,77,Fever,58,Final
2025-06-10,Liberty,85,Sky,66,Final
2025-06-11,Aces,89,Sparks,97,Final
2025-06-11,Mercury,93,Wings,80,Final
2025-06-11,Storm,94,Lynx,84,Final
2025-06-13,Dream,88,Sky,70,Final
2025-06-13,Aces,88,Wings,84,Final
2025-06-14,Lynx,101,Sparks,78,Final
2025-06-14,Fever,102,Liberty,88,Final
2025-06-14,Valkyries,76,Storm,70,Final
2025-06-15,Sun,66,Sky,78,Final
2025-06-15,Mystics,56,Dream,89,Final
2025-06-15,Aces,70,Mercury,76,Final
2025-06-17,Fever,88,Sun,71,Final
2025-06-17,Liberty,86,Dream,81,Final
2025-06-17,Sky,72,Mystics,79,Final
2025-06-17,Wings,80,Valkyries,71,Final
2025-06-17,Lynx,76,Aces,62,Final
2025-06-17,Sparks,67,Storm,98,Final
2025-06-18,Sun,75,Mercury,83,Final
2025-06-19,Liberty,81,Mercury,89,Final
2025-06-19,Valkyries,88,Fever,77,Final
2025-06-20,Dream,92,Mystics,91,Final
2025-06-20,Sun,83,Wings,86,Final
2025-06-20,Aces,83,Storm,90,Final
2025-06-21,Sky,86,Mercury,107,Final
2025-06-21,Lynx,82,Sparks,66,Final
2025-06-22,Dream,93,Sky,80,Final
2025-06-22,Mystics,91,Wings,88,Final
2025-06-22,Aces,89,Fever,81,Final
2025-06-22,Storm,89,Liberty,79,Final
2025-06-22,Valkyries,87,Sun,63,Final
2025-06-24,Mystics,68,Lynx,64,Final
2025-06-24,Sky,97,Sparks,86,Final
2025-06-24,Wings,68,Dream,55,Final
2025-06-24,Storm,86,Fever,94,Final
2025-06-25,Valkyries,78,Liberty,81,Final
2025-06-25,Aces,85,Sun,59,Final
2025-06-26,Fever,75,Sparks,85,Final
2025-06-26,Aces,83,Mystics,94,Final
2025-06-27,Dream,92,Lynx,96,Final
2025-06-27,Wings,86,Fever,94,Final
2025-06-27,Valkyries,83,Sky,78,Final
2025-06-27,Mercury,106,Liberty,91,Final
2025-06-27,Storm,97,Sun,81,Final
2025-06-28,Wings,79,Mystics,71,Final
2025-06-29,Dream,90,Liberty,81,Final
2025-06-29,Sparks,85,Sky,92,Final
2025-06-29,Mercury,81,Aces,84,Final
2025-06-29,Lynx,102,Sun,63,Final
2025-06-29,Valkyries,84,Storm,57,Final
2025-07-01,Lynx,59,Fever,74,Final
2025-07-03,Fever,81,Aces,54,Final
2025-07-03,Liberty,89,Sparks,79,Final
2025-07-03,Dream,79,Storm,80,Final
2025-07-03,Wings,98,Mercury,89,Final
2025-07-03,Lynx,92,Mystics,75,Final
2025-07-05,Fever,87,Sparks,89,Final
2025-07-05,Lynx,82,Valkyries,71,Final
2025-07-06,Liberty,70,Storm,79,Final
2025-07-06,Sun,68,Aces,86,Final
2025-07-06,Lynx,80,Sky,75,Final
2025-07-07,Dream,90,Valkyries,81,Final
2025-07-07,Mercury,102,Wings,72,Final
2025-07-08,Mystics,81,Sky,79,Final
2025-07-08,Liberty,87,Aces,78,Final
2025-07-09,Sun,93,Storm,83,Final
2025-07-09,Fever,61,Valkyries,80,Final
2025-07-09,Mercury,79,Lynx,71,Final
2025-07-09,Sky,87,Wings,76,Final
2025-07-10,Sparks,82,Lynx,91,Final
2025-07-10,Mystics,70,Aces,68,Final
2025-07-11,Fever,99,Dream,82,Final
2025-07-11,Storm,79,Sun,65,Final
2025-07-12,Sky,87,Lynx,81,Final
2025-07-12,Aces,104,Valkyries,102,Final
2025-07-13,Fever,102,Wings,83,Final
2025-07-13,Liberty,79,Dream,72,Final
2025-07-13,Sparks,92,Sun,88,Final
2025-07-13,Storm,69,Mystics,74,Final
2025-07-14,Sky,78,Lynx,91,Final
2025-07-14,Valkyries,77,Mercury,78,Final
2025-07-15,Sun,77,Fever,85,Final
2025-07-15,Sparks,99,Mystics,80,Final
2025-07-16,Sky,49,Dream,86,Final
2025-07-16,Lynx,79,Mercury,66,Final
2025-07-16,Storm,67,Valkyries,58,Final
2025-07-16,Liberty,98,Fever,77,Final
2025-07-16,Wings,86,Aces,90,Final
2025-07-19,TEAM CLARK,131,TEAM COLLIER,151,Final
2025-07-22,Mystics,86,Sparks,93,Final
2025-07-22,Liberty,98,Fever,84,Final
2025-07-22,Lynx,91,Sky,68,Final
2025-07-22,Aces,87,Dream,72,Final
2025-07-22,Storm,63,Wings,87,Final
2025-07-23,Mercury,79,Dream,90,Final
2025-07-24,Sun,86,Sparks,101,Final
2025-07-24,Fever,80,Aces,70,Final
2025-07-24,Sky,57,Storm,95,Final
2025-07-25,Liberty,89,Mercury,76,Final
2025-07-25,Lynx,109,Aces,78,Final
2025-07-25,Valkyries,86,Wings,76,Final
2025-07-26,Liberty,99,Sparks,101,Final
2025-07-26,Mystics,69,Storm,58,Final
2025-07-27,Sun,95,Valkyries,64,Final
2025-07-27,Sky,78,Fever,93,Final
2025-07-27,Wings,80,Aces,106,Final
2025-07-27,Mystics,72,Mercury,88,Final
2025-07-27,Lynx,86,Dream,90,Final
2025-07-28,Sun,85,Storm,101,Final
2025-07-28,Wings,92,Liberty,82,Final
2025-07-29,Dream,75,Valkyries,77,Final
2025-07-29,Mystics,103,Sky,86,Final
2025-07-29,Sparks,74,Aces,89,Final
2025-07-30,Fever,107,Mercury,101,Final
2025-07-30,Wings,85,Dream,88,Final
2025-07-30,Lynx,100,Liberty,93,Final
2025-07-31,Mystics,67,Valkyries,68,Final
2025-08-01,Dream,95,Mercury,72,Final
2025-08-01,Sun,78,Liberty,62,Final
2025-08-01,Sky,66,Valkyries,73,Final
2025-08-01,Wings,78,Fever,88,Final
2025-08-01,Storm,106,Sparks,108,Final
2025-08-02,Aces,58,Lynx,111,Final
2025-08-03,Sun,78,Liberty,87,Final
2025-08-03,Dream,99,Mystics,83,Final
2025-08-03,Storm,74,Fever,78,Final
2025-08-03,Sky,67,Mercury,83,Final
2025-08-03,Aces,101,Valkyries,77,Final
2025-08-05,Liberty,85,Wings,76,Final
2025-08-05,Sky,78,Mystics,64,Final
2025-08-05,Sparks,100,Fever,91,Final
2025-08-05,Mercury,82,Sun,66,Final
2025-08-05,Storm,87,Lynx,91,Final
2025-08-06,Valkyries,72,Aces,78,Final
2025-08-07,Sky,65,Dream,86,Final
2025-08-07,Sparks,102,Sun,91,Final
2025-08-07,Mercury,95,Fever,60,Final
2025-08-08,Wings,77,Liberty,88,Final
2025-08-08,Lynx,80,Mystics,76,Final
2025-08-08,Aces,90,Storm,86,Final
2025-08-09,Fever,92,Sky,70,Final
2025-08-09,Valkyries,72,Sparks,59,Final
2025-08-10,Liberty,71,Lynx,83,Final
2025-08-10,Wings,78,Mystics,91,Final
2025-08-10,Mercury,66,Dream,74,Final
2025-08-10,Sparks,94,Storm,91,Final
2025-08-10,Aces,94,Sun,86,Final
2025-08-11,Valkyries,74,Sun,57,Final
2025-08-12,Fever,80,Wings,81,Final
2025-08-12,Sparks,97,Liberty,105,Final
2025-08-13,Sun,71,Sky,62,Final
2025-08-13,Mystics,83,Valkyries,88,Final
2025-08-13,Aces,83,Liberty,77,Final
2025-08-13,Storm,75,Dream,85,Final
2025-08-15,Fever,84,Mystics,88,Final
2025-08-15,Sky,59,Valkyries,90,Final
2025-08-15,Wings,96,Sparks,97,Final
2025-08-15,Dream,78,Storm,80,Final
2025-08-15,Mercury,83,Aces,86,Final
2025-08-16,Lynx,86,Liberty,80,Final
2025-08-17,Sun,93,Fever,99,Final
2025-08-17,Mystics,95,Sparks,86,Final
2025-08-17,Aces,106,Wings,87,Final
2025-08-17,Storm,82,Mercury,85,Final
2025-08-17,Valkyries,63,Dream,79,Final
2025-08-19,Liberty,85,Lynx,75,Final
2025-08-19,Mystics,69,Sun,80,Final
2025-08-19,Sky,88,Storm,94,Final
2025-08-19,Aces,74,Dream,72,Final
2025-08-19,Valkyries,91,Mercury,98,Final
2025-08-20,Sparks,81,Wings,80,Final
2025-08-21,Sun,67,Mystics,56,Final
2025-08-21,Liberty,85,Sky,91,Final
2025-08-21,Dream,75,Lynx,73,Final
2025-08-21,Aces,83,Mercury,61,Final
2025-08-22,Fever,90,Lynx,95,Final
2025-08-22,Wings,60,Storm,95,Final
2025-08-22,Mercury,81,Valkyries,72,Final
2025-08-23,Dream,78,Liberty,62,Final
2025-08-23,Mystics,81,Aces,91,Final
2025-08-23,Sky,84,Sun,94,Final
2025-08-24,Mystics,82,Storm,84,Final
2025-08-24,Wings,81,Valkyries,90,Final
2025-08-24,Lynx,97,Fever,84,Final
2025-08-25,Liberty,81,Sun,79,Final
2025-08-25,Sky,74,Aces,79,Final
2025-08-26,Fever,95,Storm,75,Final
2025-08-26,Sparks,84,Mercury,92,Final
2025-08-27,Dream,75,Aces,81,Final
2025-08-27,Wings,95,Sun,101,Final
2025-08-28,Liberty,89,Mystics,63,Final
2025-08-28,Lynx,79,Storm,93,Final
2025-08-28,Mercury,83,Sky,79,Final
2025-08-29,Dream,100,Wings,78,Final
2025-08-29,Sparks,75,Fever,76,Final
2025-08-30,Sun,70,Lynx,94,Final
2025-08-30,Valkyries,99,Mystics,62,Final
2025-08-30,Storm,79,Sky,69,Final
2025-08-30,Mercury,80,Liberty,63,Final
2025-08-31,Sparks,81,Mystics,78,Final
2025-08-31,Valkyries,75,Fever,63,Final
2025-09-01,Sun,76,Dream,93,Final
2025-09-01,Lynx,96,Wings,71,Final
2025-09-01,Storm,85,Sparks,91,Final
2025-09-02,Valkyries,66,Liberty,58,Final
2025-09-02,Mercury,85,Fever,79,Final
2025-09-03,Dream,86,Sparks,75,Final
2025-09-03,Sky,88,Sun,64,Final
2025-09-04,Mystics,69,Mercury,75,Final
2025-09-04,Valkyries,84,Wings,80,Final
2025-09-04,Aces,97,Lynx,87,Final
2025-09-05,Dream,104,Sparks,85,Final
2025-09-05,Fever,97,Sky,77,Final
2025-09-05,Storm,76,Liberty,84,Final
2025-09-06,Sun,87,Mercury,84,Final
2025-09-06,Valkyries,72,Lynx,78,Final
2025-09-07,Mystics,65,Fever,94,Final
2025-09-07,Sparks,91,Wings,77,Final
2025-09-07,Aces,80,Sky,66,Final
2025-09-08,Dream,87,Sun,62,Final
2025-09-09,Liberty,75,Mystics,66,Final
2025-09-09,Fever,83,Lynx,72,Final
2025-09-09,Aces,92,Sky,61,Final
2025-09-09,Mercury,83,Sparks,88,Final
2025-09-09,Storm,74,Valkyries,73,Final
2025-09-10,Sun,72,Dream,88,Final
